Course Title,Course Description,Course Author,Course Author Occupation,Course URL
Data Visualization with Seaborn,"Use Seaborn's sophisticated visualization tools to make beautiful, informative visualizations with ease.",Chris Moffitt,Creator of Practical Business Python,https://www.datacamp.com/courses/data-visualization-with-seaborn
Statistical Simulation in Python,Learn to solve increasingly complex problems using simulations to generate and analyze data.,Tushar Shanker,Data Scientist at Uber,https://www.datacamp.com/courses/statistical-simulation-in-python
Financial Forecasting in Python,Step into the role of CFO and learn how to advise a board of directors on key metrics while building a financial fore...,Victoria Clark,Chartered Global Management Accountant at CIMA,https://www.datacamp.com/courses/financial-forecasting-in-python
Visualizing Geospatial Data in Python,Learn how to make attractive visualizations of geospatial data in Python using the geopandas package and folium maps.,Mary van Valkenburg,Data Science Program Manager at Nashville Software School,https://www.datacamp.com/courses/visualizing-geospatial-data-in-python
Equity Valuation in R,Learn the fundamentals of valuing stocks.,Clifford Ang,Vice President at Compass Lexecon,https://www.datacamp.com/courses/equity-valuation-in-r
Building Web Applications in R with Shiny: Case Studies,Build interactive web apps using R and shiny!,Dean Attali,Founder & Lead R-Shiny Consultant at AttaliTech Ltd,https://www.datacamp.com/courses/building-web-applications-in-r-with-shiny-case-studies
Supervised Learning in R: Regression,"In this course you will learn how to predict future events using linear regression, generalized additive models, rand...",John Mount,"Co-founder, Principal Consultant at Win-Vector, LLC",https://www.datacamp.com/courses/supervised-learning-in-r-regression
Dimensionality Reduction in R,"Develop your intuition for when to reduce dimensionality in your data, and master the fundamentals of how to do so in R.",Alexandros Tantos,"Assistant Professor, Aristotle University of Thessaloniki",https://www.datacamp.com/courses/dimensionality-reduction-in-r
Spatial Analysis in R with sf and raster,Analyze spatial data using the sf and raster packages.,Zev Ross,"President, ZevRoss Spatial Analysis",https://www.datacamp.com/courses/spatial-analysis-in-r-with-sf-and-raster
Network Analysis in R,In this course you'll learn to analyze and visualize network data with the igraph package.,James Curley,Associate Professor at UT Austin,https://www.datacamp.com/courses/network-analysis-in-r
Building Web Applications in R with Shiny,Build interactive web apps straight from R with shiny!,Mine Cetinkaya-Rundel,Associate Professor at Duke University & Data Scientist and Pr...,https://www.datacamp.com/courses/building-web-applications-in-r-with-shiny
Introduction to the Tidyverse,"Get started on the path to exploring and visualizing your own data with the tidyverse, a powerful and popular collect...",David Robinson,"Chief Data Scientist, DataCamp",https://www.datacamp.com/courses/introduction-to-the-tidyverse
Developing R Packages,Create and share your own R Packages!,Aimee Gott,Education Practice Lead at Mango Solutions,https://www.datacamp.com/courses/developing-r-packages
Inference for Numerical Data,In this course you'll learn techniques for performing statistical inference on numerical data.,Mine Cetinkaya-Rundel,Associate Professor at Duke University & Data Scientist and Pr...,https://www.datacamp.com/courses/inference-for-numerical-data
Fundamentals of Bayesian Data Analysis in R,"Learn what Bayesian data analysis is, how it works, and why it is a useful tool to have in your data science toolbox.",Rasmus Bååth,Senior Data Scientist at King (Activision Blizzard),https://www.datacamp.com/courses/fundamentals-of-bayesian-data-analysis-in-r
Working with Dates and Times in R,"Learn the essentials of parsing, manipulating and computing with dates and times in R.",Charlotte Wickham,Assistant Professor at Oregon State University,https://www.datacamp.com/courses/working-with-dates-and-times-in-r
Cluster Analysis in R,Develop a strong intuition for how hierarchical and k-means clustering work and learn how to apply them to extract in...,Dmitriy Gorenshteyn,Lead Data Scientist at Memorial Sloan Kettering Cancer Center,https://www.datacamp.com/courses/cluster-analysis-in-r
Inference for Categorical Data,In this course you'll learn how to leverage statistical techniques for working with categorical data.,Andrew Bray,,https://www.datacamp.com/courses/inference-for-categorical-data
Visualizing Big Data with Trelliscope,Learn how to visualize big data in R using ggplot2 and trelliscopejs.,Ryan Hafen,Author of TrelliscopeJS,https://www.datacamp.com/courses/visualizing-big-data-with-trelliscope
Biomedical Image Analysis in Python,"Learn the fundamentals of exploring, manipulating, and measuring biomedical image data.",Stephen Bailey,NIH Research Fellow,https://www.datacamp.com/courses/biomedical-image-analysis-in-python
Building Recommendation Engines with PySpark,Learn tools and techniques to leverage your own big data to facilitate positive experiences for your users.,Jamen Long,Data Scientist,https://www.datacamp.com/courses/recommendation-engines-in-pyspark
